Name,link,Org Name,Org Link,Notes,Formats
Licensed travel agents,https://data.gov.hk/en-data/dataset/hk-cedb-citb_tar-tar-licensed-travel-agents,Commerce and Economic Development Bureau,https://data.gov.hk/en-datasets/provider/hk-cedb ,,"CSV,"
List of Experimental Station Licensees,https://data.gov.hk/en-data/dataset/hk-ofca-ofca-ofca-dataset-1,Office of the Communications Authority,https://data.gov.hk/en-datasets/provider/hk-ofca ,,"XLSX,"
List of Radio Dealer (Unrestricted) Licensees,https://data.gov.hk/en-data/dataset/hk-ofca-ofca-ofca-dataset-2,Office of the Communications Authority,https://data.gov.hk/en-datasets/provider/hk-ofca ,,"XLSX,"
List of Registered Newspapers and Periodicals,https://data.gov.hk/en-data/dataset/hk-ofnaa-newspapers-ofnaa-dataset-1,"Office for Film, Newspaper and Article Administration",https://data.gov.hk/en-datasets/provider/hk-ofnaa ,,"XLSX,"
"List of local institutions which were designated as ""Designated Local Research Institutions"" (DLRI) pursuant to section 19(1) of Schedule 45 to the Inland Revenue Ordinance (Cap.112)",https://data.gov.hk/en-data/dataset/hk-itc-dlri-list-of-designated-local-research-institutions-iro,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"JSON,"
Merchandise Trade Index Numbers,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-mti,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XLSX,XML,"
Merchandise Trade Statistics,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-merchandise-trade-statistics,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XLSX,"
Merchandise Trade Statistics Classification,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-merchandise-trade-statistics-class,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLSX,"
Number of Establishments and Persons Engaged in Testing and Certification Activities,https://data.gov.hk/en-data/dataset/hk-itc-hkctc-table1,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,XLS,"
"Number of Registrations/Grants of Trade Marks, Patents and Designs in force in Hong Kong",https://data.gov.hk/en-data/dataset/hk-ipd-ipstat-number-registrations-grants-hong-kong,Intellectual Property Department,https://data.gov.hk/en-datasets/provider/hk-ipd ,,"CSV,"
Offshore Trade in Goods,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-offshore-trade-in-goods,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLSX,"
Open Tenders issued via e-Tender Box (ETB) of Government Logistics Department (GLD),https://data.gov.hk/en-data/dataset/hk-gld-gldetb-gldetb-tendernotice,Government Logistics Department,https://data.gov.hk/en-datasets/provider/hk-gld ,,"XML,"
Operating characteristics of enterprises analysed by sector (only including enterprises with employees),https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-operating-characteristics-of-enterprises,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"XLS,"
Orders-on-hand,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-orders-on-hand,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,"
Performance Rating of Registered Escalator Contractors,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-performance-rating-of-escalator-contractors,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Performance Rating of Registered Lift Contractors,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-performance-rating-of-lift-contractors,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Private Independent Testing and Certification Establishments - Associate Professional Staff Engaged by Education Attainment,https://data.gov.hk/en-data/dataset/hk-itc-hkctc-table9,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,XLS,"
Private Independent Testing and Certification Establishments - Business Receipts by Establishment Size,https://data.gov.hk/en-data/dataset/hk-itc-hkctc-table5,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,XLS,"
Private Independent Testing and Certification Establishments - Business Receipts by Service Type,https://data.gov.hk/en-data/dataset/hk-itc-hkctc-table3,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,XLS,"
Private Independent Testing and Certification Establishments - Business Receipts from Testing,https://data.gov.hk/en-data/dataset/hk-itc-hkctc-table4,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,XLS,"
Private Independent Testing and Certification Establishments - Persons Engaged by Occupation,https://data.gov.hk/en-data/dataset/hk-itc-hkctc-table7,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,XLS,"
Private Independent Testing and Certification Establishments - Principal Statistics,https://data.gov.hk/en-data/dataset/hk-itc-hkctc-table2,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,XLS,"
Private Independent Testing and Certification Establishments - Professional Staff Engaged by Education Attainment,https://data.gov.hk/en-data/dataset/hk-itc-hkctc-table8,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,XLS,"
Private Independent Testing and Certification Establishments and Persons Engaged by Establishment Size,https://data.gov.hk/en-data/dataset/hk-itc-hkctc-table6,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,XLS,"
Producer Price Index for Industrial Sector,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-ppii,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
Producer Price Indices of Selected Service Industries (2001=100),https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-ppis,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,"
"Railway Safety Inspection
and Investigation Data",https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-railways-inspection-investigation,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"CSV,"
Ranking of Selected Economies in the World Merchandise Trade,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-ranking-of-selected-economies-in-the-world-merchandise-trade,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,"
Register of Personnel on Amusement Rides,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-amusement-rides,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Contractors of Builders' Lifts and Tower Working Platforms,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-builders-lifts-and-tower-working-platforms-contractors,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Electrical Contractors,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-electrical-contractors,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"JSON,XLSX,"
Registered Electrical Workers,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-electrical-workers,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"JSON,XLSX,"
Registered Energy Assessors,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-energy-assessors,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Escalator Contractors,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-escalator-contractors,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Escalator Engineers,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-escalator-engineers,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Escalator Workers,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-escalator-workers,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Examiners of Builders' Lifts and Tower Working Platforms,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-builders-lifts-and-tower-working-platforms-examiners,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Gas Contractors employing Registered Gas Installers of different classes of Gas Installation Work,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-gas-contractors-overall,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Gas Installers,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-gas-installers,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Lift Contractors,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-lift-contractors,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Registered Lift Engineers,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-lift-engineers,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
